x,y,z
22.13,85.97,-229.0247256
60.32,11.87,197.7584288
46.06,63.46,-45.81423205
99.39,35.08,269.7027154
83.6,1.64,333.2173011
97.19,93.9,42.07058665
59.02,27.89,133.3935266
9.54,82.85,-272.2466898
11.14,74.27,-230.8356115
85.32,84.77,28.83945075
36.42,25.02,59.53586858
66.05,29.86,158.998619
50.43,95.01,-151.2124411
71.44,46.9,113.5625463
96.89,21.09,311.1505215
68.89,85.35,-40.78588823
35.82,5.94,125.0860854
13.2,97.7,-310.7049937
1.44,78.15,-284.7197088
63.34,68.31,-0.651785079
75.67,45.01,137.638084
66.25,99.69,-101.9472991
8.72,75.75,-248.1973442
3.18,56.58,-195.9046933
6.4,60.8,-198.5495418
19.37,28.1,-24.20123696
96.94,29.51,283.277879
40.95,1.4,162.5088696
11.43,43.27,-115.7622562
43.58,46.28,5.395198976
39.91,40.11,15.41788004
11.85,30.51,-65.95418564
25.59,2.55,98.9335071
40.82,97.86,-198.4973251
64.48,72.11,-13.64042127
66.13,91.83,-76.1814406
62.41,57.18,39.44653296
0.69,99.37,-364.7973651
6.6,6.5,9.114980073
95.66,19.12,315.980729
95.7,51.59,191.1584618
93.92,12.3,334.3348431
81.83,10.4,296.6106918
83.72,68.32,82.4391564
84.66,72.5,73.98421711
42.62,13.79,122.1123982
0.83,32.81,-116.4092649
69.54,43.18,120.2625335
6.16,61.73,-203.3039223
92.11,78.76,75.41360731
62.18,60.29,26.5890985
25.58,71.36,-163.0172148
26.21,88.43,-228.9365634
9.81,83.6,-270.1445986
93,59.53,153.5696182
22.97,31.47,-21.12109575
26.15,67.35,-144.6456102
8.52,71.92,-234.5877892
77.36,90.46,-25.89926741
15.9,5.3,46.87981065
15.21,57,-145.5059737
46.8,54,-11.41919595
24.48,61.87,-131.9054408
96.15,72.14,119.3387476
67.75,69.37,12.70304709
92.89,89.1,44.84834798
69.42,66.18,32.8924845
71.45,13.08,243.6791768
83.39,83.34,26.0137257
64.89,20.39,188.5716018
23.46,54.66,-108.515874
95.1,79.16,91.84142393
69.03,12.02,238.3684939
81.11,83.18,16.03388507
4.67,87.72,-305.5592574
74.65,79.88,3.849472456
67.44,55.54,62.74115244
49.33,62.43,-33.29674327
57.2,38.32,89.2649734
72.24,31.45,175.3408318
22.28,46.24,-78.53823428
25.33,37.51,-34.70164113
98.72,35.57,268.8867149
2.89,5.71,-4.741128534
39.66,51.03,-26.07556399
42.18,77.47,-116.8155202
53.16,64.85,-26.6623039
79.85,68.98,66.30857613
53.7,40.04,68.51085097
91.26,0.66,366.8305744
2.62,18.66,-56.96846385
57.59,18.31,165.5337175
88.12,6.1,336.3763963
42.7,84.78,-140.9073328
84.17,76.55,56.68943002
88.7,99.8,-14.59792432
60.33,36.34,108.9354756
53.51,92.42,-128.274964
40.66,7.35,137.4969562
61.39,69.24,-11.99781729
48.49,54.73,-5.615169248
59.51,5.7,222.9747856
76.55,94.11,-43.93066138
59.68,9.75,206.9347651
67.9,29.98,165.084657
40.22,50.54,-23.28614436
67.38,7.74,245.0020078
60.29,21.08,165.9618412
12.93,52.94,-143.8347662
19.13,82.82,-232.1427028
90.31,28.5,260.8105466
18.08,2.63,67.03996401
5.87,1.18,22.72000001
41.83,66.8,-75.89921362
67.09,8.87,240.6668926
32.25,96.31,-229.130135
92.77,97.46,10.08616838
49.94,19.91,130.509212
95.04,30.85,270.5762959
46.97,16.38,131.388452
40.09,87.65,-163.1207661
42.47,41.11,20.94229161
39.59,63.44,-76.28239388
88.69,14.87,307.9504689
49.2,23.95,111.7361883
8.29,54.75,-168.6102179
16.84,5,56.06994999
50.73,10.69,170.1070842
52.05,55.49,6.54372497
44.36,77.23,-107.3199754
17.11,93.73,-278.5330506
47.31,6.52,174.6245745
2.33,25.55,-84.6881985
89.2,15.3,302.774254
20.06,91.03,-257.3802359
57.98,89.8,-100.5486876
56.21,44.77,63.10114125
80.63,25.4,232.7936911
32.63,47.81,-43.11068171
96.73,8.34,361.911103
27.77,5.68,95.68884497
66.64,64.67,30.09918923
62.08,83.09,-59.34557076
80.06,47.68,143.6959374
68.64,76.11,-5.938176294
90.64,53.56,167.0813489
94.64,27.5,281.0517427
86.89,12.18,307.1221403
62.34,88.28,-77.73607812
67.92,32,160.5205989
24.73,55.61,-106.3763959
82.41,86.84,8.172541106
0.1,67,-247.1032152
98.06,13.66,347.4276014
40.85,55.07,-41.60013073
16.81,21.24,-10.62279391
40.48,7.63,136.7883276
69.8,98.42,-88.43622655
62.73,69.61,-5.642094875
4.39,64.38,-218.1062429
59.18,51.13,47.74978995
87.93,7.72,328.8761457
26.1,21.74,27.09328379
36.41,95.24,-209.0517546
8.65,68.16,-219.453282
2.75,28.68,-97.14617761
36,24.88,51.46035632
80.72,50.71,139.3084495
70.76,32.48,168.3414916
18.17,28.63,-31.33350368
27.07,2.66,105.0721666
80.59,18.68,258.8690832
75.8,10.85,271.3071074
38.21,3.64,145.722933
13.52,77.72,-236.3214422
18.35,70.4,-187.4202733
23.99,74.4,-177.5740937
37.3,3.87,141.384547
79.61,96.59,-40.75687394
20.34,74.9,-195.9477589
19.87,65.82,-166.6591181
19.47,44.8,-86.46788798
8.74,31.56,-78.96610554
1.46,6.93,-14.77417895
0.2,94.52,-349.9224447
8.42,40.55,-114.7747157
89.98,4.23,352.1987871
73.04,68.3,42.25063471
71.49,20.57,215.5966384
85.22,12.51,301.6408082
86.38,61.23,121.4177361
64.34,9.48,227.7098838
21.03,10.7,46.15559838
90.65,99.16,-4.844366869
58.34,38.55,93.15980666
63.43,43.07,99.80520014
82.86,50.92,140.8075719
18.48,89.71,-257.3844093
80.83,69.08,70.72025114
96.2,70.68,124.1874375
85.45,72.66,74.89919434
53.4,76.12,-65.52055662
60.91,84.65,-71.51947634
24.91,62.58,-134.2697059
17.19,82.95,-239.1988037
81.53,51.25,137.6806227
68.16,72.99,3.919483555
27.4,41.21,-41.04358677
36.05,50.22,-38.80539164
8.53,68.53,-219.7379048
45.78,99.64,-188.426771
48.47,88.46,-133.2564437
33.55,1.44,132.109952
48.78,45.86,28.69107784
70.66,58.4,68.14890948
30.98,33.6,-0.559084346
64.61,23.34,176.6465433
25.05,7.27,74.91659385
85.85,94.33,-4.431497926
100,49.42,220.6637046
66.48,42.64,109.0505968
0.41,84.83,-317.0360072
61,73.26,-27.46087267
30.87,32.27,10.45983848
46.13,17.21,125.0193489
96.95,47.97,211.9906639
0.86,35.34,-125.9118234
31.23,63.42,-111.147741
18.43,70.48,-190.2198589
29.08,84.86,-199.1141824
26.67,82.01,-198.8416035
20.11,60.53,-142.5106542
52.11,68.22,-44.40794866
52.36,38.56,66.7724389
90.92,1.14,367.6361974
46.54,65.95,-57.25305936
40.69,58.35,-54.71020188
1.63,0.04,10.63193351
51.06,35.5,74.39212493
41.38,3.36,156.0287813
72.77,17,229.8421338
72.28,21.13,217.0907885
14.87,35.24,-65.83576121
30.09,34.2,-6.932791894
3.92,76.85,-267.9168691
74.8,37.58,164.0397586
86.42,4.95,335.0308546
17.55,4.19,59.98730344
39.55,5.87,141.324058
69.56,61.65,49.12396632
94.2,97.68,15.29772396
14.62,9.42,30.58754997
2.51,86.22,-308.0324074
99.91,20.03,329.7180389
78.02,15.95,260.521119
33.24,49.89,-51.92758724
47.5,5.66,172.503267
11.46,32.7,-70.81323537
56.6,89.84,-106.9752304
96.28,66.91,141.4721255
12.59,1.95,44.92898314
40.9,63.9,-74.07420307
51.66,62.79,-22.66195266
58.91,85.06,-78.05799982
9.47,44.65,-124.847591
14.15,53.88,-141.2147614
97.58,47.06,218.0178229
95.85,82.73,76.19570963
95.56,0.05,389.682843
93.51,55.7,169.8707744
42.95,26.74,77.60847729
49.9,16.4,145.2694214
74.95,29.2,195.1443494
71.27,28.11,186.8318647
18.79,32.25,-43.7158025
43.45,44.84,8.314538754
16.95,66.92,-182.1475989
72.78,80.04,-7.080265617
31.17,24.1,41.86981029
63.49,41.09,106.052201
42.82,4.05,163.5147266
89.48,14.68,308.6348475
20.9,43.16,-76.88091743
75.04,80.01,1.088246318
95.02,91.72,40.33766214
37.31,77.08,-136.494386
87.39,67.77,100.131096
61.87,49.29,67.82641524
38.41,62.24,-73.89818263
34.63,44.91,-24.32994857
78.81,11.19,279.4960748
52.22,31,95.28259941
10.14,5.2,27.70982202
6.38,53.97,-175.6917809
81.63,53.78,128.5107682
91.12,12.06,325.0460894
98.68,12.63,355.2319873
21.67,96.74,-274.2752806
13.64,91.63,-285.4600447
27.55,32.02,-6.184375373
72.76,85.74,-29.24526137
82.42,17.01,266.5438827
23.01,8.46,62.97062661
80.99,92.01,-19.25116755
86.79,47.99,172.3352365
39.28,67.16,-91.99483062
36.17,27.8,44.37120169
74.29,63.21,60.78781263
67.02,64.12,30.59205139
92.37,34.76,244.480537
46.2,23.25,106.0241029
44.24,76.67,-110.8937027
48.06,34.31,68.68138261
20.96,45.56,-82.0940986
69.99,93.37,-63.9892266
47.66,2.16,188.9953772
67.03,86.49,-53.37085507
43.83,96.72,-183.6326916
38.49,80.42,-145.7958068
6.81,10.47,-7.431223858
17.69,26.73,-24.32253067
2.09,14.65,-42.3498916
32.96,77.84,-155.4733241
31.13,65.1,-113.6331088
72.18,15.94,236.3973526
78.11,68.9,59.47944431
8.05,84.57,-281.555315
43.16,5.83,156.9551994
44.34,55.35,-24.86215795
96.39,26.25,290.4070658
43.26,78.49,-121.4014877
60.64,45.29,79.99119862
8.25,10.8,-3.434044381
96.13,73.01,113.7363454
96.85,38.91,246.4642171
29.53,89.17,-211.7798217
76.59,27.49,210.1725546
75.16,16.79,242.7918197
81.91,51.16,137.9517283
61.23,60.56,24.11905482
23.97,10.9,59.08803996
4.07,37.91,-122.3246619
31.55,60.86,-98.97774427
51.48,46.78,35.26110299
66.39,9.14,235.2026158
1.13,59.5,-215.5976622
19.22,80.39,-218.951445
12.23,46.74,-123.8236448
15.46,99.26,-309.5632023
40.74,54.86,-37.95639801
89.81,26.75,262.6528047
64.47,10.63,222.2445598
51.14,57.73,-8.413591519
38.58,65.07,-89.70929652
30.4,89.09,-210.7783876
54.29,26.7,123.7314722
32.88,76.21,-150.8820213
48.56,83.33,-113.9471248
86.71,30.65,239.4994122
29.3,7.59,93.65959416
68.98,15.56,224.1065732
14.73,65.04,-179.7352916
66.34,40.86,115.0803898
46.58,0.88,190.5772343
86.93,24.94,257.8003835
65.75,63.84,29.54298888
73.27,85.47,-23.37605044
98.07,27.03,298.2185537
45.88,38.6,42.26756455
31.44,76.35,-155.5082619
90.17,29.61,257.6957032
53.04,35.2,84.62733017
51.2,79.35,-89.64089329
74.79,5.34,286.8510832
29.58,89.02,-211.0113611
38.82,76.23,-126.674807
61.86,88.81,-81.13779789
73.28,39.15,153.2958135
85.01,87.92,14.39679436
83.82,15.04,284.9434927
23.21,10.53,57.93100943
94.01,50.93,190.6127231
5.66,85.54,-294.4435012
77.34,98.4,-54.3038726
41.57,23.93,80.45103014
91.69,59.88,146.5391337
0.57,20.69,-70.87719255
21.87,52.66,-107.0627272
7.08,55.04,-174.2096405
62.9,89.77,-79.25689428
90.9,93.53,13.46781108
47.45,58.74,-22.34508946
47.85,68.46,-63.18897842
74.75,78.6,9.674430981
71.43,43.44,126.4322332
28.32,14.49,63.00643708
51.8,63.34,-24.5579745
0.3,77.83,-286.9579643
58.09,68.04,-20.3443922
72.73,56.82,82.72649219
46.47,46.14,19.47630155
5,73.56,-253.4637289
39.17,94.3,-193.3242613
59.8,68.47,-14.4513848
55.61,47.4,48.12209432
60.98,10.31,207.7563646
97.67,70.41,129.0732463
63.01,4.5,242.1375071
10.76,15.22,-9.901130391
21.62,58.87,-132.9714852
57.46,99.65,-140.4928177
21,87.32,-241.1515798
4.81,90.2,-317.780367
29.77,55.16,-85.50803138
40.61,70.24,-99.51720401
81.46,16.03,270.7482501
0.05,57.13,-210.5431451
93.12,36.65,243.0975879
66.43,52.55,73.75749492
43.76,50.14,-8.072785702
90.45,65.65,119.5813127
82.59,65.11,89.6144743
10.12,46.6,-132.736857
44.69,1.66,180.3652283
91.14,65.87,123.0047048
22.03,41.26,-62.87060955
45.29,48.95,3.49630308
84.35,24.19,254.0184924
93.4,37.74,237.898332
78.29,10.54,281.6884122
64.83,5.19,246.7886198
21.42,76.72,-202.5366351
87.8,95.28,1.285299216
78.38,71.99,43.25487638
30.33,91.91,-219.5929926
16.67,9.52,35.14386373
0.28,44.51,-163.8398445
95.36,57.64,170.298113
98.32,18.72,328.1827328
94.23,90.12,39.83923502
11.09,2.38,40.7677357
97.84,47.12,218.3471045
15.97,52.2,-125.1144635
94.47,3.9,368.4844579
15.08,38.15,-77.42172153
91.54,58.79,150.1589522
54.92,84.2,-93.18809171
63.73,79.07,-35.22735684
68.03,63.24,42.28382001
62.51,55.66,44.55933884
39.39,31.18,46.95902119
51.34,71.12,-57.20975426
91.67,57.52,157.3882958
44.25,17.04,119.8955316
78.06,21.48,239.1282967
10.34,64.8,-199.405431
21.09,20.02,10.03750626
90.69,2.57,357.8335743
17.39,99.21,-302.0222417
49.16,71.95,-68.84940957
63.46,43.56,94.08630619
76.9,1.99,304.7971606
60.55,79.2,-51.34383185
53.75,23.29,134.5733154
14.34,0.9,57.86545825
69.23,50.56,92.39418572
37.6,63.99,-83.76662961
99.89,23.97,313.4937603
9.94,47.24,-132.2006664
7.55,52.58,-165.202773
27.23,58.04,-104.8625392
28.98,38.7,-23.01786473
26.46,84.03,-207.7473061
87.94,37.67,217.3654071
42.35,6.59,150.4349798
38.77,40.02,11.35212984
39.16,0.76,158.726625
7.66,45.8,-135.9629729
37.58,49.26,-30.6601387
38.96,15.35,103.8719818
70.38,71.55,19.87448341
20.75,78.42,-207.0526431
84.75,77.34,53.86393001
67.49,19.13,202.0042072
2.31,46.45,-160.1131596
99.29,67.67,149.3635179
56.54,31.46,113.5003024
10.17,28.03,-61.97633731
72.6,47.82,117.2329518
57.47,69.38,-23.65257747
84.13,25.85,243.5720634
4.03,59.39,-203.5468524
54.53,86.27,-100.9961045
0.13,24.41,-87.08998438
12.03,64.44,-188.2335686
47.98,16.06,138.5127738
42.26,46.06,-0.273697528
54.18,22.02,142.9363389
17.21,30.72,-44.76418136
89.88,47.23,185.7531728
42.44,3.89,160.8794515
26.03,6.11,86.30114985
21.95,95.17,-267.3870584
28.7,14.39,66.06556631
59.61,31.29,128.5782855
24.57,21.12,24.75833895
1,39.77,-143.5802324
47.53,80.53,-109.3108544
88.9,97.65,-10.32524048
34.43,43.45,-17.54595421
34.54,13.8,92.89088795
22.87,68.71,-163.8545422
16.4,97.18,-297.0895064
93.56,4.51,361.4837902
10.06,94.56,-310.4899905
40.86,47.05,-9.724600079
99.04,60.14,175.2684421
3.55,58.55,-202.9721746
18.85,92.41,-267.5638393
33.04,94.1,-214.4188219
20.21,16.75,24.26581604
73.38,58.92,77.75667228
75.08,68.25,49.87731607
81.41,1.56,324.0656256
29.65,70.89,-141.0190336
60.36,69.85,-15.79567882
65.32,53.81,68.11066142
29.89,42.78,-35.48355362
93.61,64.86,135.7599779
63.09,96.98,-108.5743326
90.05,72.59,94.01189544
4.19,37.9,-122.1943767
74.24,79.96,0.578470572
72.81,24.85,201.5308433
15.29,43.79,-96.74371608
2.37,49.47,-172.2124245
5.7,43.55,-135.8538802
93.18,96.16,16.81672825
34.57,8.64,109.2239551
93.24,20.42,301.9448141
36.76,72.88,-121.564882
72.7,23.99,208.4972547
26.47,10.41,75.00331411
46.92,12.89,140.7626882
62.46,73.27,-20.47785477
80.14,0.64,322.8844522
37.83,80.55,-148.3729504
90.29,51.9,171.7894327
26.73,77.37,-180.3547193
47.01,62.92,-43.6367245
18.22,67.53,-179.1867878
45.09,16.44,121.0001849
55.24,3.14,214.8096628
3.63,64.49,-225.3629244
77.69,48.49,134.4185011
15.71,92.95,-281.4254757
7.91,13.57,-16.2971802
43.48,11.59,133.8676902
24.24,81.74,-207.8123716
13.9,2.46,52.43651406
25.36,2.92,97.33962597
51.98,94.08,-140.1944973
61.45,38.48,104.5170349
63.47,16.48,198.4549212
75.07,24.58,210.4868628
38.78,56,-52.23928877
4.65,46.25,-153.5721783
73.17,94.87,-59.61666378
8.07,98.43,-337.3897444
92.09,73.64,95.64651255
20.44,12.38,38.10506876
52.32,33.47,87.45116553
63.37,72.49,-14.52192964
63.74,42.27,103.7095883
51.09,64.83,-38.01731406
29.12,99.58,-253.9723362
67.4,13.97,222.9201044
97.77,71.82,128.343988
38.38,57.94,-58.78884326
43.28,79.14,-121.5058671
46.78,4.63,173.7825078
47.77,42.85,32.04297373
19.8,51,-107.8571884
57.11,81.03,-71.63926714
71.96,37.36,151.1585783
8.57,63.07,-201.3868577
82.78,79.24,39.65022746
91.53,45.78,197.8814488
83.41,4.44,318.9157454
8.37,80.77,-264.3395303
90.58,13.68,317.6717323
40.28,29.63,53.48754348
82.22,77.89,42.18353658
35.24,50.86,-42.72179514
88.71,46.38,188.4460006
14.9,27.3,-39.81361756
73.87,54.64,100.5824709
56.2,63.88,-9.847074437
43.14,30.32,63.42405585
64.23,41.08,101.5400475
40.3,58.07,-54.94809585
90.33,83.94,53.46308226
10.29,13.33,-4.077416736
87.03,1.27,352.1949532
61.38,23.3,162.4146044
23.14,47.55,-83.82409786
67.81,22.26,191.719488
40.21,60.3,-61.48639131
28.02,64.34,-126.999596
83.42,76.73,54.64456592
17.14,17.22,8.67852282
72.86,32.45,176.0609724
73.51,39.38,152.4477477
14.44,51.87,-133.7523952
26.86,59.16,-110.5215616
24.17,92.52,-245.328471
69.32,52.7,82.6173654
41.41,92.54,-177.6036095
6.03,37.97,-119.569969
84.48,53.5,142.7117488
39.99,45.06,-5.610758282
39.44,54.54,-44.66088473
79.96,24.89,231.9317177
72.21,11.81,250.6562475
70.3,97.09,-80.11409264
51.9,69.63,-48.81763274
86.64,29.69,241.40875
95.6,6.24,367.2576905
18.14,69.78,-184.7470789
34.8,52.07,-52.23107337
75.7,73.23,30.10080432
83.49,85.48,18.12864738
38.53,81.12,-144.5801101
23.52,42.61,-62.52050021
71.3,81.29,-15.20930387
63.71,44.76,92.1326921
60.73,61.3,16.16686662
33.26,60.42,-89.77351423
83.71,75.63,56.79774106
73.86,48.78,117.6506632
9.82,70.74,-223.838314
70.05,43.2,125.3326429
73.55,65.71,53.45124593
35.89,29.82,36.78708006
45.41,39.02,42.44003224
47.13,7.86,165.774663
35.14,12.74,97.75122389
52.38,16.32,151.5709508
60.97,68.03,-7.098993912
28.8,46.15,-55.02364344
63.38,96.12,-105.3796407
97.14,81.18,85.97135177
59.26,37.11,101.703848
40.79,40.65,14.58339475
59.09,95.6,-116.5182057
9.09,96.25,-321.8363009
90.74,25.91,272.8875503
34.62,76.15,-142.6688304
68.88,45.6,108.7537326
2.23,65.32,-228.7784683
85.06,49.19,158.7924016
28.3,22.62,30.98357864
91.36,60.05,148.1908832
45.75,24.52,96.93132765
24.78,37.47,-40.82696047
24.51,73.07,-170.2961091
9.72,23.31,-45.1625743
44.78,7.23,153.3884148
45.55,25.38,96.83526449
77.1,56.53,102.9565491
76.81,96.99,-54.09744138
20.46,11.31,43.2863272
3.16,13.14,-33.78628664
98.55,48.87,216.0961169
11.24,36.9,-86.413808
98.22,73.19,120.1298617
68.1,41.68,121.2345718
51.76,35.25,78.09476415
11.83,42.87,-112.1002847
45.2,69.68,-78.10053947
4.74,59.89,-205.6761862
58.44,25.49,144.982142
16.92,88.11,-259.6204633
55.92,13.94,174.9442229
67.84,30.3,162.7455098
2.49,22.94,-69.89781119
62.29,22.23,169.3450336
69.11,92.53,-68.43898173
17.28,11.27,30.68426384
85.95,19.08,278.7476383
87.04,26.63,250.1811417
91.76,41.95,215.71398
57.04,24.8,140.3787272
0.73,12.26,-38.75333563
26.75,46.52,-62.05884776
55.84,55.34,18.66578083
26.17,77.48,-184.4710333
93.08,88.79,43.67822675
29.35,33.1,1.201870082
77.22,81.75,7.193798274
16.58,66.27,-177.0533228
86.13,63.04,112.2199418
17.01,56.87,-140.5996271
37.65,78.95,-141.1233649
4.84,93.18,-328.1717634
68.45,22.95,194.4791548
27.73,23.73,25.03863301
59.85,22.58,158.7012032
85.55,25.65,252.3238486
66.26,36.93,129.5540582
29.05,78.04,-171.316454
19.89,24.83,-8.611330995
11.53,72.55,-224.2641451
65.8,46.1,93.77461516
60.05,23.94,154.4084235
10.11,7.99,14.01883176
10.54,56.32,-165.3900124
6.78,67.1,-219.6480889
73.63,65.84,51.97237759
28.62,69.76,-142.9887022
55.98,21.67,147.6143475
16.99,18.69,5.54979519
62.65,89.59,-83.01990512
97.48,78.55,102.0682498
71.13,26.65,189.3551162
37.49,37.01,15.04732398
11.89,91.57,-292.839541
28.46,94.04,-234.1110003
84.77,44.66,178.9743436
